email_id,actual_label,predicted_label,spam_score,correct
E2969,ham,ham,0.0047,yes
E2194,ham,ham,0.0040,yes
E4754,spam,spam,1.0000,yes
E3443,ham,ham,0.0009,yes
E1668,ham,ham,0.0000,yes
E4096,ham,ham,0.0000,yes
E4729,ham,ham,0.0000,yes
E2179,ham,ham,0.0036,yes
E4934,ham,ham,0.0000,yes
E2733,ham,ham,0.0004,yes
E303,ham,ham,0.0000,yes
E4744,ham,ham,0.0000,yes
E658,ham,ham,0.0011,yes
E2860,ham,ham,0.0007,yes
E1800,ham,ham,0.0014,yes
E5406,ham,ham,0.0000,yes
E1659,ham,ham,0.0002,yes
E4233,ham,ham,0.0130,yes
E3852,ham,ham,0.0154,yes
E4488,ham,ham,0.0121,yes
E316,ham,ham,0.0000,yes
E1947,ham,ham,0.0000,yes
E5572,ham,ham,0.0001,yes
E4137,ham,ham,0.0460,yes
E558,ham,ham,0.0331,yes
E1243,ham,ham,0.0357,yes
E381,ham,ham,0.0259,yes
E4610,ham,ham,0.4749,yes
E5240,ham,spam,0.9934,no
E5444,ham,ham,0.0872,yes
E2348,ham,ham,0.0014,yes
E5387,ham,ham,0.0000,yes
E326,ham,ham,0.0000,yes
E3764,ham,ham,0.0000,yes
E2915,ham,ham,0.0003,yes
E920,ham,ham,0.0000,yes
E999,ham,ham,0.0000,yes
E1906,spam,spam,1.0000,yes
E2389,ham,ham,0.1775,yes
E1140,ham,ham,0.0012,yes
E5171,ham,ham,0.1902,yes
E4151,spam,spam,1.0000,yes
E868,spam,spam,1.0000,yes
E1273,ham,ham,0.0000,yes
E3483,ham,ham,0.0645,yes
E2382,ham,ham,0.0000,yes
E2042,ham,ham,0.0009,yes
E3537,ham,ham,0.0031,yes
E2835,ham,ham,0.1117,yes
E741,ham,ham,0.0266,yes
E2603,ham,ham,0.0000,yes
E1580,ham,ham,0.0000,yes
E5308,ham,ham,0.0000,yes
E3188,ham,ham,0.0001,yes
E2135,spam,spam,1.0000,yes
E4208,spam,spam,1.0000,yes
E476,spam,spam,1.0000,yes
E2210,ham,ham,0.0000,yes
E5339,ham,ham,0.0000,yes
E4644,ham,ham,0.0153,yes
E5338,ham,spam,0.6259,no
E77,ham,spam,0.6281,no
E210,ham,ham,0.4812,yes
E3664,ham,ham,0.0032,yes
E4468,ham,ham,0.0772,yes
E3983,spam,spam,0.6412,yes
E4735,ham,ham,0.0000,yes
E4482,ham,ham,0.4071,yes
E5178,ham,ham,0.2433,yes
E2032,ham,ham,0.0000,yes
E1286,ham,ham,0.0026,yes
E792,ham,ham,0.0000,yes
E357,ham,ham,0.0000,yes
E3273,ham,ham,0.0000,yes
E4509,ham,ham,0.0091,yes
E2422,spam,spam,1.0000,yes
E3759,ham,ham,0.0000,yes
E551,ham,ham,0.0000,yes
E2866,ham,ham,0.0000,yes
E2397,ham,ham,0.0000,yes
E3631,ham,ham,0.0000,yes
E2161,ham,ham,0.0000,yes
E1787,ham,ham,0.0000,yes
E4767,ham,spam,0.6338,no
E820,ham,ham,0.0547,yes
E4900,ham,ham,0.0001,yes
E2496,ham,ham,0.0042,yes
E5277,ham,ham,0.0017,yes
E255,ham,ham,0.0045,yes
E2082,ham,ham,0.0014,yes
E3284,ham,ham,0.0000,yes
E453,ham,ham,0.1465,yes
E4205,ham,ham,0.0000,yes
E3166,spam,spam,1.0000,yes
E2004,ham,ham,0.0449,yes
E1657,ham,ham,0.0000,yes
E3195,ham,ham,0.0001,yes
E5476,ham,ham,0.0000,yes
E775,ham,ham,0.0158,yes
E813,ham,ham,0.0000,yes
E3123,ham,ham,0.0022,yes
E1709,ham,ham,0.0000,yes
E1937,ham,ham,0.0000,yes
E5109,ham,ham,0.0000,yes
E64,ham,ham,0.0384,yes
E1505,ham,ham,0.0000,yes
E1628,ham,ham,0.0000,yes
E1334,ham,ham,0.0000,yes
E1957,ham,ham,0.0000,yes
E1107,spam,spam,1.0000,yes
E4587,ham,ham,0.0002,yes
E1823,ham,ham,0.0000,yes
E1302,ham,ham,0.0002,yes
E2239,ham,ham,0.0000,yes
E2667,ham,ham,0.1601,yes
E3261,ham,ham,0.0000,yes
E2576,spam,spam,1.0000,yes
E4857,ham,ham,0.0050,yes
E1162,ham,ham,0.0086,yes
E992,ham,ham,0.0004,yes
E5074,ham,ham,0.0121,yes
E627,ham,ham,0.0003,yes
E1622,ham,ham,0.0420,yes
E5516,ham,ham,0.0010,yes
E5520,ham,ham,0.0000,yes
E1301,ham,ham,0.3166,yes
E5342,ham,ham,0.0305,yes
E1866,ham,ham,0.0003,yes
E3238,ham,ham,0.0177,yes
E1255,ham,ham,0.0000,yes
E946,ham,ham,0.0001,yes
E4740,ham,ham,0.0000,yes
E2896,ham,ham,0.0000,yes
E4261,ham,ham,0.0137,yes
E56,spam,spam,0.9995,yes
E5144,ham,ham,0.0001,yes
E3484,ham,ham,0.0587,yes
E4658,ham,ham,0.0006,yes
E1526,ham,ham,0.0000,yes
E4789,ham,ham,0.0048,yes
E1198,spam,spam,0.9956,yes
E4864,ham,spam,0.9590,no
E2874,ham,ham,0.0000,yes
E2,ham,ham,0.0000,yes
E3045,ham,ham,0.0000,yes
E3987,ham,ham,0.0000,yes
E1902,ham,ham,0.0001,yes
E1572,ham,ham,0.0003,yes
E593,spam,spam,1.0000,yes
E3178,spam,spam,1.0000,yes
E2447,ham,ham,0.0000,yes
E736,ham,ham,0.0000,yes
E4539,ham,ham,0.0000,yes
E1157,ham,ham,0.0012,yes
E948,ham,ham,0.0023,yes
E336,ham,ham,0.2279,yes
E3768,spam,spam,1.0000,yes
E5081,spam,spam,1.0000,yes
E2064,ham,ham,0.0000,yes
E1723,ham,ham,0.0004,yes
E553,ham,ham,0.0000,yes
E1762,ham,ham,0.0000,yes
E4361,spam,spam,1.0000,yes
E4134,ham,ham,0.0000,yes
E3986,ham,ham,0.0003,yes
E760,ham,ham,0.0000,yes
E1733,ham,ham,0.0000,yes
E301,ham,ham,0.0001,yes
E3940,ham,ham,0.0000,yes
E1969,ham,ham,0.0004,yes
E2226,spam,spam,1.0000,yes
E3809,spam,spam,1.0000,yes
E2891,ham,ham,0.0081,yes
E4981,ham,spam,0.9223,no
E584,ham,ham,0.0000,yes
E1142,ham,ham,0.0000,yes
E4008,ham,spam,0.6102,no
E12,ham,ham,0.0000,yes
E2334,ham,ham,0.0004,yes
E89,ham,ham,0.0000,yes
E523,ham,ham,0.0261,yes
E3365,ham,ham,0.2351,yes
E1105,ham,ham,0.0003,yes
E5189,ham,ham,0.0021,yes
E4922,ham,ham,0.0002,yes
E2609,ham,ham,0.1213,yes
