word,frequency,weight
num,2685,100
call,329,13
free,178,7
now,166,7
txt,139,6
text,115,5
mobile,113,5
ur,112,5
stop,99,4
claim,91,4
reply,90,4
prize,80,3
week,74,3
www,69,3
nokia,65,3
tone,63,3
win,62,3
won,60,3
send,58,3
new,54,3
uk,53,2
cash,51,2
service,50,2
award,49,2
urgent,48,2
contact,47,2
box,47,2
phone,46,2
com,44,2
per,43,2
msg,42,2
chat,41,2
min,40,2
please,40,2
co,39,2
mins,39,2
guarantee,39,2
ppm,36,2
pobox,35,2
rate,34,2
draw,34,2
message,33,2
custom,33,2
offer,32,2
cs,32,2
cost,32,2
today,31,2
show,30,2
line,29,2
receive,29,2
